enName,enAbbr,localName,localAbbr
An Giang,AG,An Giang,AG
Bà Rịa - Vũng Tàu,BV,Bà Rịa – Vũng Tàu,BV
Bắc Kạn,BC,Bắc Cạn,BC
Bắc Giang,BG,Bắc Giang,BG
Bạc Liêu,BL,Bạc Liêu,BL
Bắc Ninh,BN,Bắc Ninh,BN
Bến Tre,BT,Bến Tre,BT
Bình Định,BĐ,Bình Định,BĐ
Bình Dương,BD,Bình D­ương,BD
Bình Phước,BP,Bình Ph­ước,BP
Bình Thuận,BTh,Bình Thuận,BTh
Cà Mau,CM,Cà Mau,CM
Cần Thơ,CT,Cần Thơ,CT
Cao Bằng,CB,Cao Bằng,CB
Đà Nẵng,ĐNa,Đà Nẵng,ĐNa
Đắk Lắk,ĐL,Đắc Lắc,ĐL
Đăk Nông,ĐNô,Đắc Nông,ĐNô
Điện Biên,ĐB,Điện Biên,ĐB
Đồng Nai,ĐN,Đồng Nai,ĐN
Đồng Tháp,ĐT,Đồng Tháp,ĐT
Gia Lai,GL,Gia Lai,GL
Hà Giang,HG,Hà Giang,HG
Hà Nam,HNa,Hà Nam,HNa
Hà Nội,HN,Hà Nội,HN
Hà Tĩnh,HT,Hà Tĩnh,HT
Hải Dương,HD,Hải D­ương,HD
Hải Phòng,HP,Hải Phòng,HP
Hậu Giang,HGi,Hậu Giang,HGi
Hòa Bình,HB,Hoà Bình,HB
Hưng Yên,HY,Hưng Yên,HY
Khánh Hòa,KH,Khánh Hoà,KH
Kiên Giang,KG,Kiên Giang,KG
Kon Tum,KT,Kon Tum,KT
Lai Châu,LC,Lai Châu,LC
Lâm Đồng,LĐ,Lâm Đồng,LĐ
Lạng Sơn,LS,Lạng Sơn,LS
Lào Cai,LCa,Lào Cai,LCa
Long An,LA,Long An,LA
Nam Định,NĐ,Nam Định,NĐ
Nghệ An,NA,Nghệ An,NA
Ninh Bình,NB,Ninh Bình,NB
Ninh Thuận,NT,Ninh Thuận,NT
Phú Thọ,PT,Phú Thọ,PT
Phú Yên,PY,Phú Yên,PY
Quảng Bình,QB,Quảng Bình,QB
Quảng Nam,QNa,Quảng Nam,QNa
Quảng Ngãi,QNg,Quảng Ngãi,QNg
Quảng Ninh,QN,Quảng Ninh,QN
Quảng Trị,QT,Quảng Trị,QT
Sóc Trăng,ST,Sóc Trăng,ST
Sơn La,SL,Sơn La,SL
Tây Ninh,TN,Tây Ninh,TN
Thái Bình,TB,Thái Bình,TB
Thái Nguyên,TNg,Thái Nguyên,TNg
Thanh Hóa,TH,Thanh Hoá,TH
Thừa Thiên - Huế,TTH,Thừa Thiên Huế,TTH
Tiền Giang,TG,Tiền Giang,TG
Hồ Chí Minh city,HCM,Tp. Hồ Chí Minh,HCM
Trà Vinh,TV,Trà Vinh,TV
Tuyên Quang,TQ,Tuyên Quang,TQ
Vĩnh Long,VL,Vĩnh Long,VL
Vĩnh Phúc,VP,Vĩnh Phúc,VP
Yên Bái,YB,Yên Bái,YB